Method,n_star_ratio,MAE
KCPA,0.3,0.0
Neural-ECF,0.3,4.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,11.0
KCPA,0.3,6.0
Neural-ECF,0.3,7.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,10.0
e-Divisive,0.3,14.0
KCPA,0.3,1.0
Neural-ECF,0.3,19.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,10.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,372.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,10.0
e-Divisive,0.3,4.0
KCPA,0.3,4.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,5.0
KCPA,0.3,0.0
Neural-ECF,0.3,69.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,7.0
KCPA,0.3,3.0
Neural-ECF,0.3,121.0
MIDAST[KS],0.3,70.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,93.0
KCPA,0.3,6.0
Neural-ECF,0.3,
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,22.0
KCPA,0.3,22.0
Neural-ECF,0.3,61.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,3.0
KCPA,0.3,0.0
Neural-ECF,0.3,102.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,16.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,3.0
KCPA,0.3,3.0
Neural-ECF,0.3,53.0
MIDAST[KS],0.3,30.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,14.0
KCPA,0.3,7.0
Neural-ECF,0.3,2.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,1.0
KCPA,0.3,8.0
Neural-ECF,0.3,220.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,90.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,16.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,9.0
KCPA,0.3,6.0
Neural-ECF,0.3,10.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,0.0
KCPA,0.3,0.0
Neural-ECF,0.3,8.0
MIDAST[KS],0.3,20.0
MIDAST[MMD],0.3,60.0
e-Divisive,0.3,1.0
KCPA,0.3,1.0
Neural-ECF,0.3,41.0
MIDAST[KS],0.3,10.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,2.0
KCPA,0.3,1.0
Neural-ECF,0.3,64.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,40.0
e-Divisive,0.3,0.0
KCPA,0.3,1.0
Neural-ECF,0.3,95.0
MIDAST[KS],0.3,0.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,3.0
KCPA,0.3,3.0
Neural-ECF,0.3,53.0
MIDAST[KS],0.3,60.0
MIDAST[MMD],0.3,100.0
e-Divisive,0.3,4.0
KCPA,0.3,3.0
Neural-ECF,0.3,
MIDAST[KS],0.3,50.0
MIDAST[MMD],0.3,20.0
e-Divisive,0.3,3.0
KCPA,0.3,8.0
Neural-ECF,0.3,13.0
