Method,rho2,alpha2,MAE,time_s
Neural-ECF[argmax],0.9,1.5,0.0,1.6102120876312256
Neural-ECF[peaks],0.9,1.5,0.0,1.6102120876312256
MIDAST[KS],0.9,1.5,,5.229974031448364
Neural-ECF[argmax],0.9,1.5,5.0,1.6381070613861084
Neural-ECF[peaks],0.9,1.5,5.0,1.6381070613861084
MIDAST[KS],0.9,1.5,,5.254974842071533
Neural-ECF[argmax],0.9,1.5,5.0,1.629274845123291
Neural-ECF[peaks],0.9,1.5,5.0,1.629274845123291
MIDAST[KS],0.9,1.5,,5.269546985626221
Neural-ECF[argmax],0.9,1.5,0.0,1.634335994720459
Neural-ECF[peaks],0.9,1.5,0.0,1.634335994720459
MIDAST[KS],0.9,1.5,,5.164798021316528
Neural-ECF[argmax],0.9,1.5,10.0,1.5968070030212402
Neural-ECF[peaks],0.9,1.5,10.0,1.5968070030212402
MIDAST[KS],0.9,1.5,,5.111994981765747
Neural-ECF[argmax],0.9,1.5,5.0,1.6091959476470947
Neural-ECF[peaks],0.9,1.5,5.0,1.6091959476470947
MIDAST[KS],0.9,1.5,,5.29026985168457
Neural-ECF[argmax],0.9,1.5,5.0,1.6114110946655273
Neural-ECF[peaks],0.9,1.5,5.0,1.6114110946655273
MIDAST[KS],0.9,1.5,,5.300808906555176
Neural-ECF[argmax],0.9,1.5,15.0,1.6484110355377197
Neural-ECF[peaks],0.9,1.5,15.0,1.6484110355377197
MIDAST[KS],0.9,1.5,,5.230266094207764
Neural-ECF[argmax],0.9,1.5,5.0,1.7140789031982422
Neural-ECF[peaks],0.9,1.5,5.0,1.7140789031982422
MIDAST[KS],0.9,1.5,,5.168378829956055
Neural-ECF[argmax],0.9,1.5,0.0,1.7024860382080078
Neural-ECF[peaks],0.9,1.5,0.0,1.7024860382080078
MIDAST[KS],0.9,1.5,,5.263978958129883
Neural-ECF[argmax],0.9,1.5,10.0,1.6481201648712158
Neural-ECF[peaks],0.9,1.5,10.0,1.6481201648712158
MIDAST[KS],0.9,1.5,,5.206438779830933
Neural-ECF[argmax],0.9,1.5,0.0,1.6583161354064941
Neural-ECF[peaks],0.9,1.5,0.0,1.6583161354064941
MIDAST[KS],0.9,1.5,,5.33383584022522
Neural-ECF[argmax],0.9,1.5,5.0,1.5999689102172852
Neural-ECF[peaks],0.9,1.5,5.0,1.5999689102172852
MIDAST[KS],0.9,1.5,,5.202141046524048
Neural-ECF[argmax],0.9,1.5,5.0,1.621161937713623
Neural-ECF[peaks],0.9,1.5,5.0,1.621161937713623
MIDAST[KS],0.9,1.5,,5.254554271697998
Neural-ECF[argmax],0.9,1.5,0.0,1.623244047164917
Neural-ECF[peaks],0.9,1.5,0.0,1.623244047164917
MIDAST[KS],0.9,1.5,,5.17426609992981
Neural-ECF[argmax],0.9,1.5,5.0,1.7189831733703613
Neural-ECF[peaks],0.9,1.5,5.0,1.7189831733703613
MIDAST[KS],0.9,1.5,,5.197466850280762
Neural-ECF[argmax],0.9,1.5,5.0,1.647104024887085
Neural-ECF[peaks],0.9,1.5,5.0,1.647104024887085
MIDAST[KS],0.9,1.5,,5.231839895248413
Neural-ECF[argmax],0.9,1.5,35.0,1.6405868530273438
Neural-ECF[peaks],0.9,1.5,35.0,1.6405868530273438
MIDAST[KS],0.9,1.5,,5.194118976593018
Neural-ECF[argmax],0.9,1.5,0.0,1.6753389835357666
Neural-ECF[peaks],0.9,1.5,0.0,1.6753389835357666
MIDAST[KS],0.9,1.5,,5.266280889511108
Neural-ECF[argmax],0.9,1.5,5.0,1.6061639785766602
Neural-ECF[peaks],0.9,1.5,5.0,1.6061639785766602
MIDAST[KS],0.9,1.5,,5.362094879150391
Neural-ECF[argmax],0.9,1.5,10.0,1.5096347332000732
Neural-ECF[peaks],0.9,1.5,10.0,1.5096347332000732
MIDAST[KS],0.9,1.5,,5.114439964294434
Neural-ECF[argmax],0.9,1.5,0.0,1.6155991554260254
Neural-ECF[peaks],0.9,1.5,0.0,1.6155991554260254
MIDAST[KS],0.9,1.5,,5.234081029891968
Neural-ECF[argmax],0.9,1.5,5.0,1.6460120677947998
Neural-ECF[peaks],0.9,1.5,5.0,1.6460120677947998
